Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
elevate fitness,INR,500,0%,0%,Low,0,,
physical training,INR,5000,0%,0%,Low,3,7.72,54.22
gym room,INR,500,0%,0%,Low,2,,
brad pitt fight club workout,INR,500,0%,0%,Low,0,,
rowing workout,INR,500,0%,0%,Low,5,24.73,229.92
fitness clubs near me,INR,5000,0%,0%,Low,11,10.96,73.74
good leg workouts,INR,50,0%,0%,Low,0,,
push up workout,INR,5000,0%,0%,Low,3,,
best core workouts,INR,500,0%,0%,Low,5,1.64,55.92
equinox gym price,INR,50,0%,0%,Low,1,,
female gym near me,INR,5000,0%,0%,Low,6,3.14,30.4
workout near me,INR,500,0%,0%,Low,13,9.54,88.59
upper ab workouts,INR,5000,0%,0%,Low,1,,
pulse gym,INR,500,0%,0%,Low,1,,
henry cavill workout,INR,500,0%,0%,Low,0,,
local gyms,INR,500,0%,0%,Low,5,14.43,49.86
nerd fitness,INR,500,0%,0%,Low,1,,
kfit,INR,500,0%,0%,Low,1,35.86,261.26
iron fitness,INR,500,0%,0%,Low,3,,
burn fitness,INR,50,0%,0%,Low,6,,
ab king pro,INR,500,0%,-90%,High,100,1.02,12.76
eva fitness,INR,500,0%,0%,Low,0,,
fitness women,INR,5000,0%,0%,Low,4,1.17,44.74
fitness trainer near me,INR,5000,0%,0%,Medium,36,7.02,81.28
dance fitness near me,INR,5000,0%,900%,Low,7,5.85,49.29
workout gyms near me,INR,500,0%,0%,Low,8,13.78,60.46
sport gym,INR,50,0%,0%,Low,2,,
revolution fitness,INR,500,0%,0%,Low,1,,
exercise ball workouts,INR,500,0%,0%,High,77,1.46,18.47
beginner gym workout female,INR,500,0%,0%,Low,8,1.99,39.94
profit gym,INR,500,0%,0%,Low,1,4.53,33.19
up fitness,INR,50,0%,0%,Low,1,,
sandbag workout,INR,500,0%,0%,High,82,0.96,1.09
muscle fitness,INR,5000,900%,900%,Low,11,2.29,43.78
best hiit workout,INR,500,0%,0%,Low,6,2.97,18.76
strength workout,INR,5000,0%,0%,Low,1,6.58,64.41
outdoor gym near me,INR,500,0%,0%,Low,3,20.76,86.51
gym and fitness,INR,500,0%,0%,Low,7,26.91,77.3
fitness facility,INR,50,0%,0%,Low,2,,
muscle gym,INR,500,900%,900%,Low,1,3.44,65.79
gorilla fitness,INR,500,0%,-90%,Low,1,,
skinny fat body,INR,5000,0%,0%,Low,0,1.98,96.21
gym instructor,INR,500,0%,0%,Low,10,8.65,39.83
life fitness gym,INR,5000,0%,0%,Low,6,7.02,74.83
ems fitness,INR,50,0%,0%,Low,4,,
livefit,INR,500,0%,0%,Low,11,13.9,57.03
chloe ting workout program,INR,5000,0%,0%,Low,0,,
aerobics near me,INR,5000,0%,0%,Low,7,6.48,75.57
tiktok treadmill workout,INR,50,0%,0%,Low,0,,
raw gym,INR,500,0%,0%,Low,0,,
certified personal trainer,INR,5000,0%,0%,Medium,37,7.83,32.07
good workout routines,INR,50,0%,-90%,Low,5,13.16,38.99
gains gym,INR,500,0%,0%,Low,2,13,64.14
revive gym,INR,500,0%,0%,Low,2,37.6,98.84
bruce lee workout,INR,500,900%,900%,Low,0,,
best upper body workout,INR,500,0%,0%,Low,10,,
gym workouts for women,INR,500,0%,0%,Low,10,1.76,37.03
3 day full body workout,INR,500,0%,0%,Low,0,,
hourglass body workout,INR,500,0%,0%,Low,2,2.6,75.81
french press gym,INR,500,0%,900%,Low,5,,
workout classes,INR,50,0%,0%,Low,7,12.21,60.59
